text,cluster,access_level,x,y,z
Weather in London is often rainy with sudden sunny intervals.,Noise,1,2.4286585,-3.3471375,10.428343
Weather in London is often rainy with sudden sunny intervals.,Noise,1,2.4286585,-3.3471375,10.428343
Organic apple pie is great with cinnamon and a flaky crust.,Noise,1,12.894816,6.0740514,-1.8004583
Spicy tacos pair well with pickled onions and lime crema.,Noise,1,11.565532,4.0656805,-0.93028295
Bake the cake until a toothpick comes out clean from the center.,Noise,1,9.402426,3.0202718,-1.3413486
Pepperoni pizza tastes best with fresh basil and hot honey drizzle.,Noise,1,12.262,7.041414,5.033587
Pepperoni pizza tastes best with fresh basil and hot honey drizzle.,Noise,1,12.262,7.041414,5.033587
Spicy tacos pair well with pickled onions and lime crema.,Noise,1,11.565532,4.0656805,-0.93028295
Organic apple pie is great with cinnamon and a flaky crust.,Noise,1,12.894816,6.0740514,-1.8004586
Weather in London is often rainy with sudden sunny intervals.,Noise,1,2.4286585,-3.3471375,10.428343
Organic apple pie is great with cinnamon and a flaky crust.,Noise,1,12.894816,6.0740514,-1.8004586
Pepperoni pizza tastes best with fresh basil and hot honey drizzle.,Noise,1,12.262,7.041414,5.033587
Pepperoni pizza tastes best with fresh basil and hot honey drizzle.,Noise,1,12.262,7.041414,5.033587
Organic apple pie is great with cinnamon and a flaky crust.,Noise,1,12.894816,6.0740514,-1.8004586
Pepperoni pizza tastes best with fresh basil and hot honey drizzle.,Noise,1,12.262,7.041414,5.033587
Pepperoni pizza tastes best with fresh basil and hot honey drizzle.,Noise,1,12.262,7.041414,5.033587
Spicy tacos pair well with pickled onions and lime crema.,Noise,1,11.565532,4.0656805,-0.93028283
Organic apple pie is great with cinnamon and a flaky crust.,Noise,1,12.894816,6.0740514,-1.8004586
Football match results vary widely depending on home field advantage.,Noise,1,-1.731044,0.2383279,2.9972723
Pepperoni pizza tastes best with fresh basil and hot honey drizzle.,Noise,1,12.262,7.041414,5.033587
Organic apple pie is great with cinnamon and a flaky crust.,Noise,1,12.894816,6.0740514,-1.8004586
Organic apple pie is great with cinnamon and a flaky crust.,Noise,1,12.894816,6.0740514,-1.8004586
Football match results vary widely depending on home field advantage.,Noise,1,-1.731044,0.2383279,2.9972723
Organic apple pie is great with cinnamon and a flaky crust.,Noise,1,12.894816,6.0740514,-1.8004586
Bake the cake until a toothpick comes out clean from the center.,Noise,1,9.402426,3.0202718,-1.3413486
Organic apple pie is great with cinnamon and a flaky crust.,Noise,1,12.894816,6.0740514,-1.8004586
Bake the cake until a toothpick comes out clean from the center.,Noise,1,9.402426,3.0202718,-1.3413486
Football match results vary widely depending on home field advantage.,Noise,1,-1.731044,0.2383279,2.9972723
Weather in London is often rainy with sudden sunny intervals.,Noise,1,2.4286585,-3.3471375,10.428343
Football match results vary widely depending on home field advantage.,Noise,1,-1.731044,0.2383279,2.9972723
Weather in London is often rainy with sudden sunny intervals.,Noise,1,2.4286585,-3.3471375,10.428343
Weather in London is often rainy with sudden sunny intervals.,Noise,1,2.4286585,-3.3471375,10.428343
